time_s,temperature_C,pwm,heat_cool
0.12,-1.3,213,0
0.24,-1.26,213,0
0.37,-1.2,213,0
0.49,-1.14,213,0
0.61,-1.09,213,0
0.73,-1.03,213,0
0.85,-0.97,213,0
0.98,-0.92,213,0
1.1,-0.89,213,0
1.22,-0.85,213,0
1.34,-0.81,214,0
1.47,-0.78,213,0
1.59,-0.75,213,0
1.71,-0.72,213,0
1.83,-0.69,213,0
1.95,-0.67,213,0
2.08,-0.66,213,0
2.2,-0.64,213,0
2.32,-0.61,213,0
2.44,-0.59,213,0
2.57,-0.57,213,0
2.69,-0.56,213,0
2.81,-0.55,213,0
2.93,-0.53,213,0
3.06,-0.52,213,0
3.18,-0.51,213,0
3.3,-0.49,213,0
3.42,-0.48,213,0
3.54,-0.48,213,0
3.67,-0.47,213,0
3.79,-0.46,213,0
3.91,-0.46,213,0
4.03,-0.45,213,0
4.16,-0.45,213,0
4.28,-0.45,213,0
4.4,-0.45,213,0
4.52,-0.44,213,0
4.64,-0.43,213,0
4.77,-0.43,213,0
4.89,-0.42,213,0
5.01,-0.42,213,0
5.13,-0.43,213,0
5.26,-0.43,213,0
5.38,-0.42,213,0
5.5,-0.42,213,0
5.62,-0.41,213,0
5.75,-0.42,213,0
5.87,-0.42,213,0
5.99,-0.42,213,0
6.11,-0.42,213,0
6.23,-0.42,213,0
6.36,-0.42,213,0
6.48,-0.42,213,0
6.6,-0.43,213,0
6.72,-0.43,213,0
6.84,-0.44,213,0
6.97,-0.43,213,0
7.09,-0.44,213,0
7.21,-0.43,213,0
7.33,-0.43,213,0
7.46,-0.44,213,0
7.58,-0.44,213,0
7.7,-0.44,213,0
7.82,-0.44,213,0
7.95,-0.45,213,0
8.07,-0.45,213,0
8.19,-0.46,213,0
8.31,-0.47,213,0
8.44,-0.47,213,0
8.56,-0.48,213,0
8.68,-0.47,213,0
8.8,-0.49,213,0
8.92,-0.5,213,0
9.05,-0.49,213,0
9.17,-0.49,213,0
9.29,-0.49,213,0
9.41,-0.49,213,0
9.54,-0.51,213,0
9.66,-0.51,213,0
9.78,-0.51,213,0
9.9,-0.53,213,0
10.02,-0.52,213,0
10.15,-0.54,213,0
10.27,-0.54,213,0
10.39,-0.54,213,0
10.51,-0.54,213,0
10.64,-0.55,213,0
10.76,-0.57,213,0
10.88,-0.56,213,0
11.0,-0.56,213,0
11.13,-0.58,213,0
11.25,-0.56,213,0
11.37,-0.58,213,0
11.49,-0.58,213,0
11.61,-0.58,213,0
11.74,-0.59,213,0
11.86,-0.59,213,0
11.98,-0.6,213,0
12.1,-0.6,213,0
12.23,-0.61,213,0
12.35,-0.61,213,0
12.47,-0.62,213,0
12.59,-0.64,213,0
12.72,-0.63,213,0
12.84,-0.62,213,0
12.96,-0.64,213,0
13.08,-0.64,213,0
13.21,-0.64,213,0
13.33,-0.65,213,0
13.45,-0.65,213,0
13.57,-0.66,213,0
13.69,-0.65,213,0
13.82,-0.66,213,0
13.94,-0.68,213,0
14.06,-0.67,213,0
14.18,-0.68,213,0
14.31,-0.69,213,0
14.43,-0.68,213,0
14.55,-0.69,213,0
14.67,-0.7,213,0
14.8,-0.69,213,0
14.92,-0.7,213,0
15.04,-0.72,213,0
15.16,-0.71,213,0
15.28,-0.71,213,0
15.41,-0.71,213,0
15.53,-0.72,213,0
15.65,-0.73,213,0
15.77,-0.74,213,0
15.9,-0.74,213,0
16.02,-0.74,213,0
16.14,-0.72,213,0
16.26,-0.75,213,0
16.38,-0.76,213,0
16.51,-0.76,213,0
16.63,-0.76,213,0
16.75,-0.77,213,0
16.87,-0.77,213,0
17.0,-0.77,213,0
17.12,-0.78,213,0
17.24,-0.78,213,0
17.36,-0.81,213,0
17.48,-0.8,213,0
17.61,-0.8,213,0
17.73,-0.8,213,0
17.85,-0.81,213,0
17.97,-0.81,213,0
18.1,-0.81,213,0
18.22,-0.81,213,0
18.34,-0.82,213,0
18.46,-0.81,213,0
18.59,-0.83,213,0
18.71,-0.84,213,0
18.83,-0.84,213,0
18.95,-0.84,213,0
19.08,-0.83,213,0
19.2,-0.85,213,0
19.32,-0.85,213,0
19.44,-0.86,213,0
19.56,-0.87,213,0
19.69,-0.88,213,0
19.81,-0.88,213,0
19.93,-0.88,213,0
20.05,-0.88,213,0
20.18,-0.9,213,0
20.3,-0.9,213,0
20.42,-0.9,213,0
20.54,-0.91,213,0
20.67,-0.9,213,0
20.79,-0.92,213,0
20.91,-0.91,213,0
21.03,-0.91,213,0
21.15,-0.93,213,0
21.28,-0.94,213,0
21.4,-0.93,213,0
21.52,-0.93,213,0
21.64,-0.93,213,0
21.77,-0.94,213,0
21.89,-0.95,213,0
22.01,-0.95,213,0
22.13,-0.95,213,0
22.25,-0.96,213,0
22.38,-0.97,213,0
22.5,-0.96,213,0
22.62,-0.96,213,0
22.75,-0.98,213,0
22.87,-0.98,213,0
22.99,-0.98,213,0
23.11,-0.99,213,0
23.23,-1.0,213,0
23.36,-1.01,213,0
23.48,-0.98,213,0
23.6,-1.01,213,0
23.72,-1.0,213,0
23.84,-1.03,213,0
23.97,-1.02,213,0
24.09,-1.02,213,0
24.21,-1.02,213,0
24.33,-1.02,213,0
24.46,-1.01,213,0
24.58,-1.03,213,0
24.7,-1.04,213,0
24.82,-1.03,213,0
24.94,-1.04,213,0
25.07,-1.04,213,0
25.19,-1.04,213,0
25.31,-1.05,213,0
25.43,-1.05,213,0
25.56,-1.05,213,0
25.68,-1.07,213,0
25.8,-1.06,213,0
25.92,-1.07,213,0
26.05,-1.07,213,0
26.17,-1.07,213,0
26.29,-1.07,213,0
26.41,-1.07,213,0
26.53,-1.06,213,0
26.66,-1.06,213,0
26.78,-1.05,213,0
26.9,-1.02,213,0
27.02,-0.98,213,0
27.15,-0.96,213,0
27.27,-0.94,213,0
27.39,-0.9,213,0
27.51,-0.86,213,0
27.63,-0.84,213,0
27.76,-0.79,213,0
27.88,-0.75,213,0
28.0,-0.71,213,0
28.12,-0.66,213,0
28.25,-0.62,213,0
28.37,-0.56,213,0
28.49,-0.53,213,0
28.61,-0.47,213,0
28.74,-0.42,213,0
28.86,-0.36,213,0
28.98,-0.32,213,0
29.1,-0.26,213,0
29.22,-0.21,213,0
29.35,-0.15,213,0
29.47,-0.09,213,0
29.59,-0.03,213,0
29.71,0.02,213,0
29.84,0.08,213,0
29.96,0.15,213,0
30.08,0.2,213,0
30.2,0.26,213,0
30.33,0.32,213,0
30.45,0.37,213,0
30.57,0.43,213,0
30.69,0.49,213,0
30.82,0.55,213,0
30.94,0.61,213,0
31.06,0.67,213,0
31.18,0.73,213,0
31.3,0.79,213,0
31.43,0.86,213,0
31.55,0.92,213,0
31.67,0.98,213,0
31.79,1.04,213,0
31.92,1.1,213,0
32.04,1.16,213,0
32.16,1.22,213,0
32.28,1.28,213,0
32.41,1.35,213,0
32.53,1.41,213,0
32.65,1.47,213,0
32.77,1.53,213,0
32.9,1.6,213,0
33.02,1.66,213,0
33.14,1.71,213,0
33.26,1.78,213,0
33.38,1.84,213,0
33.51,1.9,213,0
33.63,1.95,213,0
33.75,2.02,213,0
33.87,2.08,213,0
34.0,2.13,213,0
34.12,2.19,213,0
34.24,2.26,213,0
34.36,2.32,213,0
34.49,2.37,213,0
34.61,2.44,213,0
34.73,2.49,213,0
34.85,2.55,213,0
34.97,2.61,213,0
35.1,2.67,213,0
35.22,2.73,213,0
35.34,2.79,213,0
35.46,2.84,213,0
35.59,2.9,213,0
35.71,2.96,213,0
35.83,3.02,213,0
35.95,3.08,213,0
36.07,3.14,213,0
36.2,3.2,213,0
36.32,3.25,213,0
36.44,3.3,213,0
36.56,3.37,213,0
36.69,3.41,213,0
36.81,3.47,213,0
36.93,3.53,213,0
37.05,3.58,213,0
37.18,3.63,213,0
37.3,3.69,213,0
37.42,3.75,213,0
37.54,3.8,213,0
37.66,3.85,213,0
37.79,3.91,213,0
37.91,3.96,213,0
38.03,4.01,213,0
38.15,4.06,213,0
38.28,4.12,213,0
38.4,4.17,213,0
38.52,4.22,213,0
38.64,4.27,213,0
38.77,4.33,213,0
38.89,4.37,213,0
39.01,4.43,213,0
39.13,4.48,213,0
39.25,4.54,213,0
39.38,4.59,213,0
39.5,4.64,213,0
39.62,4.69,213,0
39.74,4.74,213,0
39.87,4.79,213,0
39.99,4.84,213,0
40.11,4.88,213,0
40.23,4.94,213,0
40.35,4.98,213,0
40.48,5.04,213,0
40.6,5.08,213,0
40.72,5.13,213,0
40.84,5.18,213,0
40.97,5.23,213,0
41.09,5.28,213,0
41.21,5.32,213,0
41.33,5.38,213,0
41.46,5.42,213,0
41.58,5.48,213,0
41.7,5.52,213,0
41.82,5.57,213,0
41.94,5.62,213,0
42.07,5.67,213,0
42.19,5.72,213,0
42.31,5.76,213,0
42.43,5.81,213,0
42.56,5.85,213,0
42.68,5.91,213,0
42.8,5.94,213,0
42.92,6.0,213,0
43.04,6.04,213,0
43.17,6.1,213,0
43.29,6.13,213,0
43.41,6.19,213,0
43.53,6.22,213,0
43.66,6.27,213,0
43.78,6.31,213,0
43.9,6.36,213,0
44.02,6.39,213,0
44.15,6.45,213,0
44.27,6.48,213,0
44.39,6.53,213,0
44.51,6.57,213,0
44.63,6.62,213,0
44.76,6.65,213,0
44.88,6.7,213,0
45.0,6.74,213,0
45.12,6.79,213,0
45.25,6.82,213,0
45.37,6.87,213,0
45.49,6.91,213,0
45.61,6.95,213,0
45.73,6.99,213,0
45.86,7.04,213,0
45.98,7.08,213,0
46.1,7.12,213,0
46.22,7.16,213,0
46.35,7.2,213,0
46.47,7.24,213,0
46.59,7.28,213,0
46.71,7.32,213,0
46.84,7.36,213,0
46.96,7.4,213,0
47.08,7.44,213,0
47.2,7.48,213,0
47.32,7.53,213,0
47.45,7.56,213,0
47.57,7.6,213,0
47.69,7.64,213,0
47.81,7.68,213,0
47.94,7.72,213,0
48.06,7.76,213,0
48.18,7.8,213,0
48.3,7.84,213,0
48.42,7.88,213,0
48.55,7.92,213,0
48.67,7.96,213,0
48.79,8.0,213,0
48.91,8.04,213,0
49.04,8.08,213,0
49.16,8.12,213,0
49.28,8.15,213,0
49.4,8.19,213,0
49.53,8.23,213,0
49.65,8.27,213,0
49.77,8.31,213,0
49.89,8.34,213,0
50.01,8.38,213,0
50.14,8.42,213,0
50.26,8.46,213,0
50.38,8.5,213,0
50.5,8.53,213,0
50.63,8.57,213,0
50.75,8.61,213,0
50.87,8.64,213,0
50.99,8.68,213,0
51.12,8.72,213,0
51.24,8.76,213,0
51.36,8.79,213,0
51.48,8.83,213,0
51.6,8.87,213,0
51.73,8.9,213,0
51.85,8.94,213,0
51.97,8.97,213,0
52.09,9.01,213,0
52.22,9.04,213,0
52.34,9.07,213,0
52.46,9.11,213,0
52.58,9.15,213,0
52.7,9.18,213,0
52.83,9.22,213,0
52.95,9.25,213,0
53.07,9.29,213,0
53.19,9.32,213,0
53.32,9.35,213,0
53.44,9.39,213,0
53.56,9.43,213,0
53.68,9.46,213,0
53.81,9.5,213,0
53.93,9.53,213,0
54.05,9.56,213,0
54.17,9.6,213,0
54.29,9.64,213,0
54.42,9.67,213,0
54.54,9.71,213,0
54.66,9.74,213,0
54.78,9.78,213,0
54.9,9.81,213,0
55.03,9.84,213,0
55.15,9.88,213,0
55.27,9.91,213,0
55.4,9.95,213,0
55.52,9.98,213,0
55.64,10.01,213,0
55.76,10.05,213,0
55.88,10.08,213,0
56.01,10.12,213,0
56.13,10.15,213,0
56.25,10.19,213,0
56.37,10.2,213,0
56.5,10.25,213,0
56.62,10.27,213,0
56.74,10.3,213,0
56.86,10.34,213,0
56.99,10.36,213,0
57.11,10.4,213,0
57.23,10.43,213,0
57.35,10.46,213,0
57.47,10.5,213,0
57.6,10.52,213,0
57.72,10.56,213,0
57.84,10.59,213,0
57.96,10.61,213,0
58.09,10.66,213,0
58.21,10.68,213,0
58.33,10.71,213,0
58.45,10.75,213,0
58.58,10.77,213,0
58.7,10.81,213,0
58.82,10.84,213,0
58.94,10.87,213,0
59.06,10.9,213,0
59.19,10.93,213,0
59.31,10.96,213,0
59.43,10.99,213,0
59.55,11.03,213,0
59.68,11.05,213,0
59.8,11.08,213,0
59.92,11.11,213,0
60.04,11.14,213,0
60.17,11.18,213,0
60.29,11.2,213,0
60.41,11.23,213,0
60.53,11.26,213,0
60.65,11.3,213,0
60.78,11.33,213,0
60.9,11.35,213,0
61.02,11.39,213,0
61.15,11.42,213,0
61.27,11.45,213,0
61.39,11.48,213,0
61.51,11.51,213,0
61.63,11.54,213,0
61.76,11.57,213,0
61.88,11.6,213,0
62.0,11.63,213,0
62.12,11.65,213,0
62.25,11.69,213,0
62.37,11.71,213,0
62.49,11.74,213,0
62.61,11.77,213,0
62.74,11.8,213,0
62.86,11.82,213,0
62.98,11.85,213,0
63.1,11.89,213,0
63.22,11.91,213,0
63.35,11.93,213,0
63.47,11.97,213,0
63.59,11.99,213,0
63.71,12.02,213,0
63.84,12.05,213,0
63.96,12.08,213,0
64.08,12.1,213,0
64.2,12.12,213,0
64.32,12.16,213,0
64.45,12.18,213,0
64.57,12.2,213,0
64.69,12.24,213,0
64.81,12.25,213,0
64.94,12.27,213,0
65.06,12.31,213,0
65.18,12.34,213,0
65.3,12.34,213,0
65.43,12.39,213,0
65.55,12.41,213,0
65.67,12.42,213,0
65.79,12.45,213,0
65.91,12.49,213,0
66.04,12.5,213,0
66.16,12.52,213,0
66.28,12.56,213,0
66.4,12.57,213,0
66.53,12.58,213,0
66.65,12.62,213,0
66.77,12.65,213,0
66.89,12.65,213,0
67.02,12.67,213,0
67.14,12.72,213,0
67.26,12.73,213,0
67.38,12.73,213,0
67.51,12.76,213,0
67.63,12.8,213,0
67.75,12.81,213,0
67.87,12.81,213,0
68.0,12.84,213,0
68.12,12.87,213,0
68.24,12.88,213,0
68.36,12.88,213,0
68.48,12.91,213,0
68.61,12.93,213,0
68.73,12.95,213,0
68.85,12.96,213,0
68.97,12.98,213,0
69.1,13.01,213,0
69.22,13.03,213,0
69.34,13.04,213,0
69.46,13.05,213,0
69.58,13.07,213,0
69.71,13.11,213,0
69.83,13.12,213,0
69.95,13.12,213,0
70.07,13.13,213,0
70.2,13.16,213,0
70.32,13.19,213,0
70.44,13.2,213,0
70.56,13.2,213,0
70.69,13.21,213,0
70.81,13.26,213,0
70.93,13.27,213,0
71.05,13.27,213,0
71.18,13.28,213,0
71.3,13.3,213,0
71.42,13.34,213,0
71.54,13.35,213,0
71.66,13.35,213,0
71.79,13.36,213,0
71.91,13.38,213,0
72.03,13.41,213,0
72.15,13.43,213,0
72.28,13.43,213,0
72.4,13.44,213,0
72.52,13.47,213,0
72.64,13.49,213,0
72.77,13.51,213,0
72.89,13.51,213,0
73.01,13.51,213,0
73.13,13.55,213,0
73.25,13.57,213,0
73.38,13.58,213,0
73.5,13.58,213,0
73.62,13.59,213,0
73.75,13.62,213,0
73.87,13.65,213,0
73.99,13.66,213,0
74.11,13.66,213,0
74.23,13.67,213,0
74.36,13.7,213,0
74.48,13.73,213,0
74.6,13.74,213,0
74.72,13.74,213,0
74.85,13.76,213,0
74.97,13.78,213,0
75.09,13.79,213,0
75.21,13.81,213,0
75.33,13.82,213,0
75.46,13.83,213,0
