time_s,temperature_C,pwm,heat_cool
0.12,38.9,213,1
0.24,38.86,213,1
0.37,38.83,213,1
0.49,38.81,213,1
0.61,38.79,213,1
0.73,38.79,213,1
0.85,38.78,213,1
0.98,38.81,213,1
1.1,38.82,213,1
1.22,38.87,213,1
1.34,38.91,213,1
1.47,38.96,213,1
1.59,39.03,213,1
1.71,39.11,213,1
1.83,39.2,213,1
1.96,39.28,213,1
2.08,39.39,213,1
2.2,39.49,213,1
2.32,39.61,213,1
2.44,39.72,213,1
2.57,39.84,213,1
2.69,39.97,213,1
2.81,40.1,213,1
2.93,40.25,213,1
3.06,40.39,214,1
3.18,40.54,213,1
3.3,40.69,213,1
3.42,40.86,213,1
3.55,41.02,213,1
3.67,41.18,11,1
3.79,41.35,42,1
3.91,41.52,91,1
4.04,41.7,91,1
4.16,41.86,91,1
4.28,42.04,91,1
4.4,42.2,91,1
4.53,42.36,91,1
4.65,42.51,91,1
4.77,42.67,91,1
4.89,42.81,91,1
5.01,42.96,91,1
5.14,43.09,91,1
5.26,43.24,91,1
5.38,43.37,91,1
5.5,43.51,91,1
5.62,43.64,91,1
5.75,43.78,91,1
5.87,43.9,91,1
5.99,44.03,91,1
6.11,44.15,105,1
6.24,44.28,127,1
6.36,44.4,140,1
6.48,44.52,140,1
6.6,44.63,140,1
6.73,44.76,140,1
6.85,44.87,140,1
6.97,44.99,140,1
7.09,45.11,140,1
7.22,45.24,140,1
7.34,45.37,140,1
7.46,45.49,140,1
7.58,45.61,140,1
7.7,45.74,140,1
7.83,45.88,140,1
7.95,45.99,140,1
8.07,46.14,140,1
8.19,46.26,140,1
8.31,46.39,140,1
8.44,46.5,140,1
8.56,46.64,140,1
8.68,46.77,140,1
8.8,46.91,140,1
8.93,47.02,140,1
9.05,47.17,140,1
9.17,47.28,140,1
9.29,47.43,140,1
9.41,47.55,140,1
9.54,47.68,140,1
9.66,47.81,140,1
9.78,47.95,140,1
9.9,48.07,140,1
10.02,48.21,140,1
10.15,48.33,140,1
10.27,48.47,140,1
10.39,48.59,140,1
10.51,48.72,140,1
10.64,48.85,140,1
10.76,48.99,140,1
10.88,49.1,140,1
11.0,49.24,140,1
11.12,49.37,140,1
11.25,49.51,140,1
11.37,49.63,140,1
11.49,49.77,140,1
11.61,49.9,140,1
11.74,50.02,140,1
11.86,50.15,140,1
11.98,50.27,140,1
12.1,50.4,140,1
12.22,50.53,140,1
12.35,50.66,140,1
12.47,50.78,140,1
12.59,50.92,140,1
12.71,51.04,140,1
12.84,51.17,140,1
12.96,51.29,140,1
13.08,51.42,140,1
13.2,51.53,140,1
13.32,51.67,140,1
13.45,51.8,140,1
13.57,51.92,140,1
13.69,52.04,140,1
13.81,52.16,140,1
13.94,52.28,140,1
14.06,52.41,140,1
14.18,52.53,140,1
14.3,52.64,140,1
14.42,52.76,140,1
14.55,52.9,140,1
14.67,53.0,140,1
14.79,53.14,140,1
14.91,53.24,140,1
15.03,53.37,140,1
15.16,53.48,140,1
15.28,53.6,140,1
15.4,53.71,140,1
15.52,53.85,140,1
15.65,53.95,140,1
15.77,54.08,140,1
15.89,54.19,140,1
16.01,54.31,140,1
16.13,54.4,140,1
16.26,54.53,140,1
16.38,54.63,140,1
16.5,54.76,140,1
16.62,54.85,140,1
16.75,54.98,140,1
16.87,55.09,140,1
16.99,55.2,140,1
17.11,55.31,140,1
17.23,55.43,140,1
17.36,55.53,140,1
17.48,55.64,140,1
17.6,55.76,140,1
17.72,55.86,140,1
17.85,55.97,140,1
17.97,56.08,140,1
18.09,56.19,140,1
18.21,56.3,140,1
18.33,56.41,140,1
18.46,56.51,140,1
18.58,56.62,140,1
18.7,56.73,140,1
18.82,56.84,140,1
18.95,56.93,140,1
19.07,57.03,140,1
19.19,57.14,140,1
19.31,57.25,140,1
19.43,57.35,140,1
19.56,57.47,140,1
19.68,57.56,140,1
19.8,57.64,140,1
19.92,57.77,140,1
20.04,57.85,141,0
20.17,57.96,142,0
20.29,58.05,157,0
20.42,58.16,173,0
20.54,58.27,184,0
20.66,58.36,184,0
20.78,58.44,184,0
20.9,58.48,184,0
21.03,58.55,184,0
21.15,58.58,184,0
21.27,58.62,184,0
21.39,58.63,184,0
21.52,58.66,184,0
21.64,58.65,184,0
21.76,58.67,184,0
21.88,58.64,184,0
22.0,58.63,184,0
22.13,58.6,184,0
22.25,58.58,184,0
22.37,58.51,184,0
22.49,58.51,184,0
22.61,58.43,184,0
22.74,58.4,184,0
22.86,58.33,184,0
22.98,58.28,184,0
23.1,58.2,184,0
23.23,58.14,184,0
23.35,58.06,184,0
23.47,58.0,184,0
23.59,57.92,184,0
23.71,57.83,184,0
23.84,57.73,184,0
23.96,57.65,184,0
24.08,57.55,184,0
24.2,57.47,184,0
24.33,57.36,184,0
24.45,57.26,184,0
24.57,57.16,184,0
24.69,57.07,184,0
24.81,56.95,184,0
24.94,56.86,184,0
25.06,56.73,190,0
25.18,56.64,190,0
25.3,56.52,185,0
25.43,56.4,175,0
25.55,56.28,161,0
25.67,56.18,157,0
25.8,56.04,157,0
25.92,55.94,157,0
26.04,55.82,157,0
26.16,55.7,157,0
26.28,55.58,157,0
26.41,55.45,157,0
26.53,55.35,157,0
26.65,55.21,157,0
26.77,55.11,157,0
26.9,54.98,157,0
27.02,54.86,157,0
27.14,54.73,157,0
27.26,54.61,157,0
27.38,54.48,157,0
27.51,54.38,157,0
27.63,54.25,157,0
27.75,54.14,157,0
27.87,54.01,157,0
28.0,53.9,157,0
28.12,53.77,157,0
28.24,53.65,157,0
28.36,53.53,157,0
28.48,53.41,157,0
28.61,53.29,157,0
28.73,53.17,157,0
28.85,53.05,157,0
28.97,52.92,157,0
29.09,52.81,157,0
29.22,52.68,157,0
29.34,52.57,157,0
29.46,52.44,157,0
29.58,52.33,157,0
29.71,52.21,157,0
29.83,52.1,157,0
29.95,51.97,157,0
30.07,51.86,157,0
30.19,51.73,157,0
30.32,51.62,157,0
30.44,51.48,157,0
30.56,51.38,157,0
30.68,51.25,157,0
30.81,51.15,157,0
30.93,51.02,157,0
31.05,50.92,157,0
31.17,50.79,157,0
31.29,50.68,157,0
31.42,50.56,157,0
31.54,50.46,157,0
31.66,50.33,157,0
31.78,50.23,157,0
31.91,50.11,157,0
32.03,50.01,157,0
32.15,49.89,157,0
32.27,49.79,157,0
32.4,49.67,157,0
32.52,49.55,157,0
32.64,49.45,157,0
32.76,49.34,157,0
32.88,49.22,157,0
33.01,49.12,157,0
33.13,49.0,157,0
33.25,48.89,157,0
33.37,48.79,157,0
33.5,48.69,157,0
33.62,48.57,157,0
33.74,48.48,157,0
33.86,48.36,157,0
33.98,48.26,157,0
34.11,48.15,157,0
34.23,48.06,157,0
34.35,47.95,157,0
34.47,47.85,157,0
34.59,47.74,157,0
34.72,47.64,157,0
34.84,47.54,157,0
34.96,47.43,157,0
35.08,47.33,157,0
35.21,47.23,157,0
35.33,47.13,157,0
35.45,47.03,157,0
35.57,46.94,157,0
35.69,46.84,157,0
35.82,46.74,157,0
35.94,46.63,157,0
